"Class","Path","RefCount"
"Qrcodes","C:\xampp\htdocs\crm\app\Models\Qrcodes.php","1"
"DocumentComment","C:\xampp\htdocs\crm\app\Models\DocumentComment.php","2"
"DocumentFile","C:\xampp\htdocs\crm\app\Models\DocumentFile.php","2"
"DocumentTemplateMergeTag","C:\xampp\htdocs\crm\app\Models\DocumentTemplateMergeTag.php","2"
"DocumentApproval","C:\xampp\htdocs\crm\app\Models\DocumentApproval.php","3"
"DocumentSignature","C:\xampp\htdocs\crm\app\Models\DocumentSignature.php","3"
"DocumentAuditLog","C:\xampp\htdocs\crm\app\Models\DocumentAuditLog.php","4"
"DocumentWorkflowData","C:\xampp\htdocs\crm\app\Models\DocumentWorkflowData.php","4"
"LeadPipelineStages","C:\xampp\htdocs\crm\app\Models\LeadPipelineStages.php","4"
"CustomModulePermission","C:\xampp\htdocs\crm\app\Models\CustomModulePermission.php","5"
"DocumentRecipient","C:\xampp\htdocs\crm\app\Models\DocumentRecipient.php","5"
"TaskTag","C:\xampp\htdocs\crm\app\Models\TaskTag.php","5"
"DocumentAccessToken","C:\xampp\htdocs\crm\app\Models\DocumentAccessToken.php","6"
"WhatsappOtp","C:\xampp\htdocs\crm\app\Models\WhatsappOtp.php","6"
"SignUpSetting","C:\xampp\htdocs\crm\app\Models\SignUpSetting.php","7"
"TaskTagList","C:\xampp\htdocs\crm\app\Models\TaskTagList.php","7"
"EmployeeActivity","C:\xampp\htdocs\crm\app\Models\EmployeeActivity.php","9"
"LeadHistory","C:\xampp\htdocs\crm\app\Models\LeadHistory.php","10"
"DatabaseBackup","C:\xampp\htdocs\crm\app\Models\DatabaseBackup.php","11"
"DealHistory","C:\xampp\htdocs\crm\app\Models\DealHistory.php","11"
"EmployeeLocation","C:\xampp\htdocs\crm\app\Models\EmployeeLocation.php","13"
"RecurringInvoiceItemImage","C:\xampp\htdocs\crm\app\Models\RecurringInvoiceItemImage.php","14"
"TranslateSetting","C:\xampp\htdocs\crm\app\Models\TranslateSetting.php","14"
"LeadUserNote","C:\xampp\htdocs\crm\app\Models\LeadUserNote.php","16"
"Menu","C:\xampp\htdocs\crm\app\Models\Menu.php","16"
"OrderItemImage","C:\xampp\htdocs\crm\app\Models\OrderItemImage.php","16"
"ProjectTemplateTaskUser","C:\xampp\htdocs\crm\app\Models\ProjectTemplateTaskUser.php","16"
