"Name","RefCount"
"account.admin.live-tracking","0"
"api.attendance.clock-in","0"
"api.attendance.clock-out","0"
"api.attendance.index","0"
"api.attendance.location-alert","0"
"api.attendance.location-update","0"
"api.dashboard.stats","0"
"api.lead-contacts.index","0"
"api.lead-contacts.store","0"
"api.lead-contacts.update","0"
"api.login","0"
"api.profile","0"
"api.purchasedModule.v1","0"
"api.whatsapp.send_otp","0"
"api.whatsapp.verify_otp","0"
"app-settings.create","0"
"app-settings.destroy","0"
"app-settings.edit","0"
"app-settings.show","0"
"app-settings.store","0"
"attendance-report.create","0"
"attendance-report.destroy","0"
"attendance-report.edit","0"
"attendance-report.show","0"
"attendance-report.store","0"
"attendance-report.update","0"
"attendance-settings.create","0"
"attendance-settings.destroy","0"
"attendance-settings.edit","0"
"attendance-settings.show","0"
"attendance-settings.store","0"
"business-address.show","0"
"cashier.webhook","0"
"client_notes.check_password","0"
"clientCategory.edit","0"
"clientCategory.index","0"
"clientCategory.show","0"
"client-contacts.index","0"
"client-contacts.show","0"
"client-docs.index","0"
"client-docs.show","0"
"clients.save_consent_purpose_data","0"
"clientSubCategory.edit","0"
"clientSubCategory.index","0"
"clientSubCategory.show","0"
"company-settings.edit","0"
"contractDiscussions.create","0"
"contractDiscussions.index","0"
"contractDiscussions.show","0"
"contractFiles.create","0"
"contractFiles.edit","0"
"contractFiles.index","0"
"contractFiles.show","0"
"contractFiles.update","0"
"contract-renew.create","0"
"contract-renew.index","0"
"contract-renew.show","0"
"contract-settings.create","0"
"contract-settings.destroy","0"
"contract-settings.edit","0"
"contract-settings.show","0"
"contract-settings.store","0"
"contract-template.download","0"
"contractTypes.edit","0"
"contractTypes.index","0"
"contractTypes.show","0"
"currency_settings.update_currency_format","0"
"currency-settings.show","0"
"custom-fields.show","0"
"custom-link-settings.show","0"
"custom-modules.destroy","0"
"custom-modules.edit","0"
"dashboard.deal-stage-data","0"
"database-backup-settings.destroy","0"
"database-backup-settings.edit","0"
"database-backup-settings.show","0"
"database-backup-settings.update","0"
"deal-files.edit","0"
"deal-files.index","0"
"deal-files.show","0"
"deal-files.update","0"
"deal-notes.index","0"
"debugbar.assets.css","0"
"debugbar.assets.js","0"
"debugbar.cache.delete","0"
"debugbar.clockwork","0"
"debugbar.openhandler","0"
"debugbar.queries.explain","0"
"discussion.edit","0"
"discussion.index","0"
"discussion.update","0"
"discussion-category.index","0"
"discussion-category.show","0"
"discussion-files.create","0"
"discussion-files.edit","0"
"discussion-files.index","0"
"discussion-files.show","0"
"discussion-files.update","0"
"discussion-reply.index","0"
"discussion-reply.show","0"
"document-approvals.approve","0"
"document-approvals.reject","0"
"document-approvals.return","0"
"document-audit.index","0"
"document-comments.destroy","0"
"document-comments.store","0"
"document-comments.update","0"
"document-files.destroy","0"
"document-files.download","0"
"document-files.store","0"
"document-recipients.destroy","0"
"document-recipients.reorder","0"
"document-recipients.store","0"
"document-recipients.update","0"
"documents.apply_quick_action","0"
"documents.pdf","0"
"documents.pdf_regenerate","0"
"documents.timeline","0"
"document-signatures.download","0"
"document-signatures.form","0"
"document-signatures.store","0"
"emergency-contacts.index","0"
"employee-docs.index","0"
"employee-docs.show","0"
"employee-leaves.create","0"
"employee-leaves.destroy","0"
"employee-leaves.edit","0"
"employee-leaves.index","0"
"employee-leaves.show","0"
"employee-leaves.store","0"
"employee-shifts.show","0"
"employee-visa.index","0"
"estimate-template.download","0"
"event-files.create","0"
"event-files.edit","0"
"event-files.index","0"
"event-files.show","0"
"event-files.update","0"
"expenseCategory.edit","0"
"expenseCategory.index","0"
"expenseCategory.show","0"
"expense-report.create","0"
"expense-report.destroy","0"
"expense-report.edit","0"
"expense-report.show","0"
"expense-report.store","0"
"expense-report.update","0"
"file.getFile","0"
"files.create","0"
"files.edit","0"
"files.index","0"
"files.show","0"
"files.store_link","0"
"files.thumbnail","0"
"files.update","0"
"finance-report.create","0"
"finance-report.destroy","0"
"finance-report.edit","0"
"finance-report.show","0"
"finance-report.store","0"
"finance-report.update","0"
"front.check-env","0"
"front.contract.show","0"
"front.estimate.show","0"
"front.gdpr.remove_lead_request","0"
"front.invoice","0"
"front.proposal","0"
"gdpr.create","0"
"gdpr.destroy","0"
"gdpr.edit","0"
"gdpr.show","0"
"gdpr.store","0"
"gdpr.update","0"
"gdpr-settings.create","0"
"gdpr-settings.destroy","0"
"gdpr-settings.edit","0"
